"ID","Title","Published At","Duration","ViewCount","LikeCount"
"Hn765WpVNJc","Do This When Your Battery Is Running Low","2024-07-03T13:00:24Z","PT3M3S",362374,20400
"PVA49vb7YJg","The one question you need to understand who you are   #shorts  #selfcare  #importantquestions","2024-06-29T13:00:31Z","PT1M",69054,6098
"LeLzDKTZiXA","A Question to Ask Ourselves When We Are Low and Paranoid","2024-06-26T13:00:30Z","PT4M1S",189707,10334
"XuxS8xutCuA","The Secret Power of Missing Someone  #shorts  #relationships  #loss","2024-06-22T13:00:30Z","PT57S",257014,30627
"LFsVUWDNNT8","The Real Reason We Work So Hard","2024-06-19T13:00:18Z","PT2M2S",186653,8620
"-jHW33fGxuo","Dangers of oversharing  #shorts  #animation  #relationships","2024-06-15T13:00:00Z","PT56S",114679,11169
"pyEx6-FAgMU","When and Why do we Pick Up our Phones?","2024-06-12T13:00:55Z","PT3M40S",115361,7178
"RQxIBNPuxC4","How to Find Out What's Really on Your Mind","2024-06-05T13:00:23Z","PT2M43S",176700,8495
"xukDLGItLOM","The Dangers of Oversharing","2024-05-29T13:00:58Z","PT3M20S",597161,27273
"_YPS-Tg_980","The Wisdom of Clouds  #shorts  #meditation  #nature","2024-05-25T13:00:28Z","PT49S",41528,3460
"OIzzg6B9-60","How To Overcome Psychological Barriers","2024-05-22T13:00:20Z","PT10M56S",300792,15447
"pj1s2r5DRTg","Two Questions to Repair a Relationship  #animation #shorts  #relationships","2024-05-18T13:00:46Z","PT1M",134863,15637
"yt16bvgWOVY","The Secret Power of Missing Someone","2024-05-15T13:01:02Z","PT4M14S",163729,7247
"Elgoy0Hn568","How to Overcome Trauma  #shorts  #trauma  #understandingtheself","2024-05-11T13:00:11Z","PT57S",62513,6227
"n7Gu5qOqYqU","How to Tell If You're Afraid of Intimacy","2024-05-08T13:00:45Z","PT3M27S",216433,7925
"Qe4zyaZFmEo","The One Question You Need to Understand Who You Are","2024-05-01T13:00:24Z","PT3M51S",289392,13423
"PqHsN1ZHkH8","We We Love People Who Don't Love Us Back  #shorts  #love","2024-04-27T13:00:31Z","PT55S",117265,10454
"g1CTV0Jcc5A","When Love Isn't Easy","2024-04-24T13:01:34Z","PT2M49S",137966,6627
"LCaTPmNKEm8","Why Unloved People Hate Themselves #shorts  #selfcare","2024-04-20T13:00:28Z","PT58S",1707253,154610
"PNulbFECY-I","Is Everyone Else Normal? Feeling Painfully Different","2024-04-17T13:00:20Z","PT2M55S",194487,10925
"29UuouECAbA","How To Be Very Attractive #shorts #dating #attractive","2024-04-13T13:00:01Z","PT59S",766198,90389
"KmoCJmQFAUA","How Repressed Emotions Make Us Sick","2024-04-10T13:00:24Z","PT4M20S",1780659,106743
"eSnouLAmzj8","Why We Think We Are Losers (But Actually Aren't)","2024-04-03T13:00:40Z","PT4M53S",276212,13535
"VdIWLzs0q-w","Why We Should Refuse to Get Into Arguments","2024-03-27T14:00:23Z","PT3M45S",274296,13261
"2May2jQ0u48","The Lengths We Go To Avoid Love","2024-03-20T14:00:03Z","PT6M18S",378833,19536
"65Yl0bIoepc","Why Nice People Repel Us","2024-03-13T14:00:10Z","PT4M6S",230915,10413
"cFOwoOhYSiU","Why We Behave As We Do","2024-03-06T14:00:29Z","PT4M43S",115932,5876
"4K41tC_d_7k","Why Unloved People Hate Themselves","2024-02-28T14:00:07Z","PT1M58S",434407,22862
"pdFuIUJEIJw","The Conditions of Love","2024-02-21T14:00:38Z","PT3M2S",150952,6385
"7mGCI0UalCk","5 Questions to Ask Yourself Every Evening","2024-02-14T14:00:04Z","PT7M24S",660237,26974
"F7_kJijFhyE","The True Cause of Obsessive Thinking","2024-02-07T14:00:20Z","PT5M20S",549037,21149
"4hRFvVvXNTk","How to Become a More Interesting Person","2024-01-31T14:00:03Z","PT4M4S",434917,15056
"jNXtkBeigVo","2 Unexpected Ways to Stop Sabotaging Yourself","2024-01-24T14:00:30Z","PT2M23S",453642,23099
"-cgLHV6MU9M","6 Historical Hangovers Making Us Miserable Today","2024-01-17T14:00:00Z","PT6M39S",191620,9531
"oDjlHY5Z2xI","Our Secret Wish Never to Find Love","2024-01-10T14:00:39Z","PT3M17S",164375,7433
"TuE7uDd_kfY","What Is It to Be Emotionally Mature: Part Two","2024-01-03T14:00:29Z","PT3M53S",122441,6556
"K2a79WhvmAU","What Is It to Be Emotionally Mature: Part One","2023-12-27T14:00:18Z","PT3M42S",260475,11874
"5wfpanJs6V4","When Love Isn't Easy","2023-12-20T14:00:04Z","PT2M50S",173456,7657
"XRT5jYX5jFc","Remember That EVERYONE Is Lonely","2023-12-13T14:00:19Z","PT2M37S",153530,6706
"88sEiAPQq4M","Are you a Sadist or a Masochist  - and Why?","2023-12-06T14:00:05Z","PT3M13S",162426,6286
"bjMRgOmMRcY","How To Cope with an Imperfect Partner","2023-11-29T14:00:24Z","PT3M48S",143218,6262
"ZWajrUaGAHI","A Guide to Self Transformation","2023-11-22T14:00:21Z","PT2M30S",247480,10831
"DLTlixuYE1g","How Relationships Reveal Our True Selves","2023-11-15T14:00:10Z","PT3M23S",601795,27525
"YxbaO1LaqsQ","How to Know If You Have Real Friends (And What to Do If You Don't)","2023-11-08T14:00:21Z","PT3M3S",231509,10555
"8L6VqVoO7ng","How to Prepare for the Worst","2023-11-01T13:00:06Z","PT2M20S",96354,4767
"bkogwxzjwfI","How to Be Strong and Resilient","2023-10-25T13:00:35Z","PT2M30S",220619,10681
"tcOVPra6GW4","Why People get into Unhealthy Relationships","2023-10-18T13:00:47Z","PT3M24S",168157,6408
"UdKhZxytNbc","A West African Philosophy of Calm","2023-10-11T13:00:21Z","PT3M8S",467960,32921
"gRIts1oGF3E","Alain de Botton on A THERAPEUTIC JOURNEY","2023-10-04T13:00:29Z","PT1H9M35S",318445,7735
"pTlR1jcNlQA","How To Stop Worrying","2023-09-27T13:00:44Z","PT2M30S",182572,8904
"vigt8Xiy7gE","Making Love Last","2023-09-20T13:00:50Z","PT1M59S",186850,8832
"tiftK5BYaFk","Why is everyone so worried about 'Narcissism'?","2023-09-13T13:00:52Z","PT2M30S",139987,5355
"ZHCgZ1wmhgw","The Secret to a Calm Life","2023-09-06T13:00:19Z","PT1M57S",388530,22803
"4NRptu7SPgM","How to Love without fear","2023-08-23T13:00:04Z","PT2M40S",152846,7323
"PXhHqQMsHqs","ART/ARCHITECTURE - Francisco Goya","2023-08-16T13:00:31Z","PT3M31S",74757,3516
"4gb0YXoJfGo","The Power of Simplicity","2023-08-09T13:00:06Z","PT2M49S",184022,8556
"ak4j5pVHDGg","The 17 Secrets to a Successful Relationship","2023-08-02T13:00:03Z","PT3M39S",612605,28690
"xK8BOW6vyK0","How to have a Transcendental Experience","2023-07-26T13:00:47Z","PT2M49S",103034,4812
"2r9lLY0h9Ew","How to change your Script","2023-07-19T13:00:03Z","PT2M45S",164060,7635
"CssOBe_hQ9s","The Only Two Questions to Repair a Relationship","2023-07-12T13:00:11Z","PT2M57S",479558,19865
"nZ2w8OFckZQ","How to recognise your patterns - and escape them","2023-07-05T13:19:37Z","PT4M55S",181715,6871
"llH51ZhEFDc","The Secret Power of Unsent Letters","2023-06-28T13:00:43Z","PT3M17S",188609,10197
"RmnvtqEAayE","The Power of Lies to Transform Your Love Life","2023-06-21T13:00:31Z","PT2M57S",262803,11314
"k9h9LY-Z_4o","LITERATURE - James Baldwin","2023-06-14T13:00:39Z","PT2M24S",104994,5174
"8Kt5lL6kifE","How to Deal with Negative Emotions: Daily Proven Techniques","2023-06-07T13:00:11Z","PT4M7S",581631,22699
"TIBWhm_p0fs","How to Make Love Last Forever","2023-05-31T13:00:16Z","PT5M58S",549363,27491
"E2FtET_AVCY","The Key Ideas of Hinduism","2023-05-24T13:00:10Z","PT3M41S",111289,4404
"MYIXWWyL2AI","Why You Aren't Sleeping (and How to Fix It)","2023-05-17T13:00:12Z","PT3M55S",137793,6724
"QT1zpWB74yo","The Life Changing Effect of Small Talk With Strangers","2023-05-10T13:00:16Z","PT4M8S",513061,24297
"bELfHs1kaQA","What Your Parents Made You Do for Love…","2023-05-03T13:00:32Z","PT4M47S",191802,8639
"Qh9N44-IsCI","How to Weaken the Hold of Addiction","2023-04-26T13:00:16Z","PT5M37S",313224,16012
"htQIJI4ZL4o","Why Avoidant and Anxious Partners Find It Hard to Split Up #relationships #theschooloflife #shorts","2023-04-23T13:00:22Z","PT53S",124232,5616
"vywRt-TFZVI","Carl Jung's Word Association Test","2023-04-19T13:00:51Z","PT6M8S",124899,4368
"lLrxbLXQoYw","A Test to Judge How Good Your Parents Were #shorts #theschooloflife #parents","2023-04-16T13:00:33Z","PT40S",98705,4537
"0M9CHMES68A","Why Some Adults Can't... 'Act Their Age'","2023-04-12T13:00:00Z","PT3M43S",213897,8624
"-Uls0PnlORo","How To Simplify Your Life #theschooloflife #shorts #simplelife","2023-04-08T13:00:00Z","PT59S",94103,6840
"enmyrAGUL5k","Why We Should Admire Planes","2023-04-01T13:00:27Z","PT1M",66195,5394
"d6Ld4mx-TnU","The Fix For a 'Boring Life' - Sei Shonagen - The Pillow Book","2023-03-29T13:00:34Z","PT3M31S",212327,9124
"AxrE9LGXPLU","Are You Stuck Playing These 3 Roles in Love?","2023-03-22T14:00:06Z","PT5M20S",326625,12287
"EIcYUSP42Qw","Why Successful Love Requires Vulnerability","2023-03-01T14:00:14Z","PT6M23S",403055,17855
"KzBBridKiN0","3 Ways to Deal with Envious Friends...","2023-02-22T14:00:10Z","PT5M46S",185417,6185
"tTRJ13PtUSk","Van Gogh As a Guide to Confidence","2023-02-15T14:00:38Z","PT2M33S",223662,11136
"4Mtb2hPihXw","Why You Need to Have a Proper Adolescence","2023-02-08T14:00:03Z","PT3M31S",202060,8833
"GndjYhgW5bo","How to Get Less Defensive in Relationships","2023-02-01T14:00:10Z","PT5M6S",341419,15342
"tY3sQwiqniI","LITERATURE - Edward Gibbon","2023-01-25T14:00:35Z","PT3M45S",193857,8807
"hsW_t92w0hY","Why Parents Bully Their Children","2023-01-18T14:00:32Z","PT4M13S",289778,15738
"aAnTwyCJdf0","The Importance of Being Single","2023-01-11T14:00:00Z","PT5M29S",1186898,43835
"021tyRCUCQY","ART/ARCHITECTURE - Mark Rothko","2023-01-04T14:00:00Z","PT3M12S",150189,4991
"71WImmxUPRo","Why We Always Feel Bad and Guilty","2022-12-28T14:00:06Z","PT3M8S",479272,21766
"SUPlNxhOvMI","LITERATURE - C. P. Cavafy","2022-12-21T14:00:21Z","PT3M40S",211666,9754
"TfHHo84RCC0","What Is Your Partner Really Thinking?","2022-12-14T14:00:20Z","PT5M23S",200350,6803
"JJDYr6EFwn4","Marcel Proust - In Search of Lost Time Audiobook","2022-12-07T14:00:08Z","PT26M23S",113397,3314
"wy-NJuF2U9k","The 12 Ingredients of Emotional Maturity","2022-12-04T21:02:32Z","PT55S",121769,10535
"wLj3FSd79i4","How to Stop Getting TRIGGERED Forever","2022-11-30T14:00:23Z","PT6M56S",1699167,52970
"9s21fUvsRFk","THANK YOU","2022-11-27T18:49:36Z","PT1M",64119,3902
"jo0xX8JuPeI","The Secret Book to Win Friends and Influence People","2022-11-23T14:00:22Z","PT3M45S",106846,4362
"cCnh2TWMhfw","How to Find Out What You Really Really Think and Why...","2022-11-16T14:00:31Z","PT4M7S",531880,20943
"ABODEx4A9ms","Freud's Oedipus Complex Can IMPROVE Your Sex Life","2022-11-09T14:00:05Z","PT6M6S",235144,6441
"2Xi2ty-uHe0","7 Secrets of Therapy","2022-11-02T14:00:02Z","PT4M17S",185546,7310
"Qj6rgpHI-zI","How Keeping a Diary Can Save You","2022-10-26T13:00:18Z","PT4M12S",645788,34161
"9oIDVxTHsUA","Kierkegaard on Love","2022-10-19T13:00:06Z","PT7M58S",347844,14448
"wyX7l3x0kr4","The Ancient Origin of Cancellation","2022-10-12T13:00:28Z","PT3M18S",157067,6940
"nhd5Aqjkq1w","12 Questions to Evaluate your Parents","2022-10-05T13:00:37Z","PT4M18S",220174,8381
"SqoxrP_tqYs","One Key Question to Liberate Yourself From Childhood","2022-09-28T13:00:19Z","PT5M4S",833193,32317
"d_ig01fPUX8","The Untapped Power Of Psychedelic Therapy","2022-09-21T13:00:31Z","PT3M52S",106530,4415
"j0z-2AY94ug","LITERATURE - Charles Darwin","2022-09-14T13:00:24Z","PT4M21S",110367,4607
"u6hZnTvkH38","Why People Get Mentally Unwell","2022-08-31T13:00:29Z","PT4M20S",256928,9392
"EXiNC4s6D2g","How to Stop People Pleasing and Be Happy","2022-08-24T13:00:08Z","PT3M41S",299517,10975
"ErgTqetjEjg","In Praise of Introspective People","2022-08-17T13:00:08Z","PT4M11S",180413,10032
